Pulse V5 Active. Equity: $101,644.71 | Mode: 0
C:\Users\SCENTECH SERVICES\AppData\Local\Programs\Python\Python39\lib\site-packages\gymnasium\spaces\box.py:235: UserWarning: [33mWARN: Box low's precision lowered by casting to float32, current low.dtype=float64[0m
  gym.logger.warn(
C:\Users\SCENTECH SERVICES\AppData\Local\Programs\Python\Python39\lib\site-packages\gymnasium\spaces\box.py:305: UserWarning: [33mWARN: Box high's precision lowered by casting to float32, current high.dtype=float64[0m
  gym.logger.warn(
Sniper Pulse Brain Synchronized.
[12:07:23] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.00%
Order Executed: XAUUSD SELL at 4432.93
[12:07:25] Pulse Conviction: -1.0000 | ATR Mult: 0.66 | PnL: +0.00%
[12:07:27] Pulse Conviction: -1.0000 | ATR Mult: 0.64 | PnL: +0.00%
[12:07:29] Pulse Conviction: -1.0000 | ATR Mult: 0.66 | PnL: +0.00%
[12:07:31] Pulse Conviction: -1.0000 | ATR Mult: 0.67 | PnL: +0.00%
[12:07:34] Pulse Conviction: -1.0000 | ATR Mult: 0.62 | PnL: -0.01%
[12:07:36] Pulse Conviction: -1.0000 | ATR Mult: 0.61 | PnL: -0.00%
[12:07:38] Pulse Conviction: -1.0000 | ATR Mult: 0.66 | PnL: +0.00%
[12:07:40] Pulse Conviction: -1.0000 | ATR Mult: 0.51 | PnL: +0.00%
[12:07:42] Pulse Conviction: -1.0000 | ATR Mult: 0.51 | PnL: +0.00%
[12:07:44] Pulse Conviction: -1.0000 | ATR Mult: 0.53 | PnL: +0.01%
[12:07:46] Pulse Conviction: -1.0000 | ATR Mult: 0.54 | PnL: +0.00%
[12:07:48] Pulse Conviction: -1.0000 | ATR Mult: 0.57 | PnL: +0.01%
[12:07:50] Pulse Conviction: -1.0000 | ATR Mult: 0.57 | PnL: +0.01%
[12:07:52] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:07:55] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:07:57] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:07:59] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:08:01] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.00%
[12:08:03] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.00%
[12:08:05] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.00%
[12:08:07] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.00%
[12:08:09] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.00%
[12:08:11] Pulse Conviction: -1.0000 | ATR Mult: 0.75 | PnL: +0.00%
[12:08:13] Pulse Conviction: -1.0000 | ATR Mult: 0.74 | PnL: +0.00%
[12:08:16] Pulse Conviction: -1.0000 | ATR Mult: 0.74 | PnL: +0.00%
[12:08:18] Pulse Conviction: -1.0000 | ATR Mult: 0.75 | PnL: +0.00%
[12:08:20] Pulse Conviction: -1.0000 | ATR Mult: 0.62 | PnL: +0.00%
[12:08:22] Pulse Conviction: -1.0000 | ATR Mult: 0.61 | PnL: +0.01%
[12:08:24] Pulse Conviction: -1.0000 | ATR Mult: 0.64 | PnL: +0.01%
[12:08:26] Pulse Conviction: -1.0000 | ATR Mult: 0.64 | PnL: +0.01%
[12:08:28] Pulse Conviction: -1.0000 | ATR Mult: 0.69 | PnL: +0.02%
[12:08:30] Pulse Conviction: -1.0000 | ATR Mult: 0.70 | PnL: +0.02%
[12:08:32] Pulse Conviction: -1.0000 | ATR Mult: 0.68 | PnL: +0.02%
[12:08:34] Pulse Conviction: -1.0000 | ATR Mult: 0.69 | PnL: +0.02%
[12:08:37] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.02%
[12:08:39] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.02%
[12:08:41] Pulse Conviction: -1.0000 | ATR Mult: 0.55 | PnL: +0.02%
[12:08:43] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.01%
[12:08:45] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:08:47] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:08:49] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:08:51] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:08:53] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:08:56] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.00%
[12:08:58] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:09:00] Pulse Conviction: -1.0000 | ATR Mult: 0.63 | PnL: +0.01%
[12:09:02] Pulse Conviction: -1.0000 | ATR Mult: 0.70 | PnL: +0.01%
[12:09:04] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.01%
[12:09:06] Pulse Conviction: -1.0000 | ATR Mult: 0.70 | PnL: +0.01%
[12:09:08] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.01%
[12:09:10] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.01%
[12:09:12] Pulse Conviction: -1.0000 | ATR Mult: 0.67 | PnL: +0.01%
[12:09:15] Pulse Conviction: -1.0000 | ATR Mult: 0.66 | PnL: +0.00%
[12:09:17] Pulse Conviction: -1.0000 | ATR Mult: 0.67 | PnL: +0.01%
[12:09:19] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.01%
[12:09:21] Pulse Conviction: -1.0000 | ATR Mult: 0.64 | PnL: +0.01%
[12:09:23] Pulse Conviction: -1.0000 | ATR Mult: 0.63 | PnL: +0.01%
[12:09:25] Pulse Conviction: -1.0000 | ATR Mult: 0.61 | PnL: +0.01%
[12:09:27] Pulse Conviction: -1.0000 | ATR Mult: 0.63 | PnL: +0.01%
[12:09:29] Pulse Conviction: -1.0000 | ATR Mult: 0.62 | PnL: +0.01%
[12:09:31] Pulse Conviction: -1.0000 | ATR Mult: 0.62 | PnL: +0.01%
[12:09:33] Pulse Conviction: -1.0000 | ATR Mult: 0.62 | PnL: +0.01%
[12:09:36] Pulse Conviction: -1.0000 | ATR Mult: 0.54 | PnL: +0.01%
[12:09:38] Pulse Conviction: -1.0000 | ATR Mult: 0.55 | PnL: +0.01%
[12:09:40] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:09:42] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:09:44] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:09:46] Pulse Conviction: -1.0000 | ATR Mult: 0.55 | PnL: +0.02%
[12:09:48] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.02%
[12:09:50] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.02%
[12:09:53] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.03%
[12:09:55] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.02%
[12:09:57] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.03%
[12:09:59] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.03%
[12:10:01] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.03%
[12:10:03] Pulse Conviction: -1.0000 | ATR Mult: 0.74 | PnL: +0.03%
[12:10:05] Pulse Conviction: -1.0000 | ATR Mult: 0.75 | PnL: +0.03%
[12:10:07] Pulse Conviction: -1.0000 | ATR Mult: 0.77 | PnL: +0.04%
[12:10:10] Pulse Conviction: -1.0000 | ATR Mult: 0.77 | PnL: +0.03%
[12:10:12] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.03%
[12:10:14] Pulse Conviction: -1.0000 | ATR Mult: 0.78 | PnL: +0.02%
[12:10:16] Pulse Conviction: -1.0000 | ATR Mult: 0.77 | PnL: +0.02%
[12:10:18] Pulse Conviction: -1.0000 | ATR Mult: 0.79 | PnL: +0.02%
[12:10:20] Pulse Conviction: -1.0000 | ATR Mult: 0.69 | PnL: +0.02%
[12:10:22] Pulse Conviction: -1.0000 | ATR Mult: 0.69 | PnL: +0.02%
[12:10:24] Pulse Conviction: -1.0000 | ATR Mult: 0.69 | PnL: +0.02%
[12:10:26] Pulse Conviction: -1.0000 | ATR Mult: 0.68 | PnL: +0.03%
[12:10:29] Pulse Conviction: -1.0000 | ATR Mult: 0.64 | PnL: +0.03%
[12:10:31] Pulse Conviction: -1.0000 | ATR Mult: 0.69 | PnL: +0.02%
[12:10:33] Pulse Conviction: -1.0000 | ATR Mult: 0.70 | PnL: +0.02%
[12:10:35] Pulse Conviction: -1.0000 | ATR Mult: 0.70 | PnL: +0.02%
[12:10:37] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.02%
[12:10:39] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.02%
[12:10:41] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.02%
[12:10:43] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.02%
[12:10:45] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.02%
[12:10:47] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.02%
[12:10:50] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.02%
[12:10:52] Pulse Conviction: -1.0000 | ATR Mult: 0.57 | PnL: +0.02%
[12:10:54] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.02%
[12:10:56] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.02%
[12:10:58] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.02%
[12:11:00] Pulse Conviction: -1.0000 | ATR Mult: 0.63 | PnL: +0.02%
[12:11:02] Pulse Conviction: -1.0000 | ATR Mult: 0.66 | PnL: +0.01%
[12:11:04] Pulse Conviction: -1.0000 | ATR Mult: 0.66 | PnL: +0.01%
[12:11:06] Pulse Conviction: -1.0000 | ATR Mult: 0.65 | PnL: +0.01%
[12:11:08] Pulse Conviction: -1.0000 | ATR Mult: 0.67 | PnL: +0.01%
[12:11:10] Pulse Conviction: -1.0000 | ATR Mult: 0.67 | PnL: +0.01%
[12:11:13] Pulse Conviction: -1.0000 | ATR Mult: 0.67 | PnL: +0.01%
[12:11:15] Pulse Conviction: -1.0000 | ATR Mult: 0.65 | PnL: +0.01%
[12:11:17] Pulse Conviction: -1.0000 | ATR Mult: 0.67 | PnL: +0.01%
[12:11:19] Pulse Conviction: -1.0000 | ATR Mult: 0.80 | PnL: +0.04%
[12:11:21] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.04%
[12:11:23] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.03%
[12:11:25] Pulse Conviction: -1.0000 | ATR Mult: 0.69 | PnL: +0.03%
[12:11:27] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.03%
[12:11:29] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.03%
[12:11:31] Pulse Conviction: -1.0000 | ATR Mult: 0.74 | PnL: +0.04%
[12:11:33] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.04%
[12:11:35] Pulse Conviction: -1.0000 | ATR Mult: 0.74 | PnL: +0.05%
[12:11:38] Pulse Conviction: -1.0000 | ATR Mult: 0.76 | PnL: +0.04%
[12:11:40] Pulse Conviction: -1.0000 | ATR Mult: 0.63 | PnL: +0.04%
[12:11:42] Pulse Conviction: -1.0000 | ATR Mult: 0.60 | PnL: +0.04%
[12:11:44] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.03%
[12:11:46] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.03%
[12:11:48] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.02%
[12:11:50] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.02%
[12:11:52] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.02%
[12:11:54] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.03%
[12:11:56] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.03%
[12:11:58] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.03%
[12:12:01] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.03%
[12:12:03] Pulse Conviction: -1.0000 | ATR Mult: 0.75 | PnL: +0.04%
[12:12:05] Pulse Conviction: -1.0000 | ATR Mult: 0.67 | PnL: +0.03%
[12:12:07] Pulse Conviction: -1.0000 | ATR Mult: 0.64 | PnL: +0.02%
[12:12:09] Pulse Conviction: -1.0000 | ATR Mult: 0.68 | PnL: +0.02%
[12:12:11] Pulse Conviction: -1.0000 | ATR Mult: 0.69 | PnL: +0.02%
[12:12:13] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.01%
[12:12:15] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.01%
[12:12:17] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.01%
[12:12:19] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.01%
[12:12:21] Pulse Conviction: -1.0000 | ATR Mult: 0.55 | PnL: +0.01%
[12:12:23] Pulse Conviction: -1.0000 | ATR Mult: 0.55 | PnL: +0.01%
[12:12:25] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: +0.01%
[12:12:28] Pulse Conviction: -1.0000 | ATR Mult: 0.57 | PnL: +0.01%
[12:12:30] Pulse Conviction: -1.0000 | ATR Mult: 0.58 | PnL: +0.01%
[12:12:32] Pulse Conviction: -1.0000 | ATR Mult: 0.58 | PnL: +0.01%
[12:12:34] Pulse Conviction: -1.0000 | ATR Mult: 0.55 | PnL: +0.03%
[12:12:36] Pulse Conviction: -1.0000 | ATR Mult: 0.57 | PnL: +0.03%
[12:12:38] Pulse Conviction: -1.0000 | ATR Mult: 0.57 | PnL: +0.03%
[12:12:40] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.03%
[12:12:42] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.02%
[12:12:44] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.02%
[12:12:46] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.02%
[12:12:49] Pulse Conviction: -1.0000 | ATR Mult: 0.62 | PnL: +0.04%
[12:12:51] Pulse Conviction: -1.0000 | ATR Mult: 0.63 | PnL: +0.04%
[12:12:53] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.04%
[12:12:55] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.04%
[12:12:57] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:12:59] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.01%
[12:13:01] Pulse Conviction: -1.0000 | ATR Mult: 0.71 | PnL: +0.00%
[12:13:03] Pulse Conviction: -1.0000 | ATR Mult: 0.72 | PnL: +0.01%
[12:13:05] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.01%
[12:13:07] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.01%
[12:13:10] Pulse Conviction: -1.0000 | ATR Mult: 0.73 | PnL: +0.01%
[12:13:12] Pulse Conviction: -1.0000 | ATR Mult: 0.74 | PnL: +0.01%
[12:13:14] Pulse Conviction: -1.0000 | ATR Mult: 0.74 | PnL: +0.01%
[12:13:16] Pulse Conviction: -1.0000 | ATR Mult: 0.75 | PnL: +0.01%
[12:13:18] Pulse Conviction: -1.0000 | ATR Mult: 0.75 | PnL: +0.01%
[12:13:20] Pulse Conviction: -1.0000 | ATR Mult: 0.58 | PnL: +0.00%
[12:13:22] Pulse Conviction: -1.0000 | ATR Mult: 0.59 | PnL: +0.00%
[12:13:24] Pulse Conviction: -1.0000 | ATR Mult: 0.60 | PnL: +0.01%
[12:13:26] Pulse Conviction: -1.0000 | ATR Mult: 0.60 | PnL: +0.01%
[12:13:28] Pulse Conviction: -1.0000 | ATR Mult: 0.60 | PnL: +0.01%
[12:13:30] Pulse Conviction: -1.0000 | ATR Mult: 0.59 | PnL: -0.00%
[12:13:32] Pulse Conviction: -1.0000 | ATR Mult: 0.59 | PnL: -0.00%
[12:13:35] Pulse Conviction: -1.0000 | ATR Mult: 0.58 | PnL: -0.01%
[12:13:37] Pulse Conviction: -1.0000 | ATR Mult: 0.58 | PnL: -0.01%
[12:13:39] Pulse Conviction: -1.0000 | ATR Mult: 0.57 | PnL: -0.01%
[12:13:41] Pulse Conviction: -0.5390 | ATR Mult: 0.50 | PnL: -0.01%
[12:13:43] Pulse Conviction: +0.1215 | ATR Mult: 0.50 | PnL: -0.01%
[12:13:45] Pulse Conviction: +0.9112 | ATR Mult: 0.50 | PnL: -0.01%
Positions Closed: SniperV5_Reverse
Order Executed: XAUUSD BUY at 4433.39
[12:13:48] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: +0.00%
[12:13:50] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:13:52] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:13:54] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:13:56] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:13:58] Pulse Conviction: +1.0000 | ATR Mult: 0.50 | PnL: -0.02%
[12:14:00] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: -0.02%
Positions Closed: SniperV5_Reverse
Order Executed: XAUUSD SELL at 4432.68
[12:14:03] Pulse Conviction: -1.0000 | ATR Mult: 0.63 | PnL: -0.01%
[12:14:05] Pulse Conviction: -1.0000 | ATR Mult: 0.57 | PnL: -0.01%
[12:14:07] Pulse Conviction: -1.0000 | ATR Mult: 0.56 | PnL: -0.01%
[12:14:09] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:14:11] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:14:13] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:14:15] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: -0.01%
[12:14:17] Pulse Conviction: -1.0000 | ATR Mult: 0.58 | PnL: +0.00%
Order Executed: XAUUSD SELL at 4433.34
[12:14:19] Pulse Conviction: -1.0000 | ATR Mult: 0.58 | PnL: -0.00%
[12:14:21] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.00%
[12:14:24] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.00%
[12:14:26] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.00%
[12:14:28] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: +0.00%
[12:14:30] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: -0.00%
[12:14:32] Pulse Conviction: -1.0000 | ATR Mult: 0.50 | PnL: -0.00%
